nome,codigo,cargaHoraria
Blackrock MuniEnhanced Fund Inc.,MEN,5
lululemon athletica inc.,LULU,5
Eaton Vance Corporation,ETW,2
Public Storage,PSA^F,6
Sino-Global Shipping America Ltd.,SINO,2
VASCO Data Security International Inc.,VDSI,5
Callon Petroleum Company,CPE^A,6
Synthetic Fixed-Income Securities Inc.,GJT,4
Stellus Capital Investment Corporation,SCQ,6
Liberty All-Star Equity Fund,USA,5
Blackrock New York Municipal 2018 Term Trust,BLH,5
Genocea Biosciences Inc.,GNCA,2
MTGE Investment Corp.,MTGEP,2
Aralez Pharmaceuticals Inc.,ARLZ,4
Nuveen Diversified Dividend and Income Fund,JDD,4
Delcath Systems Inc.,DCTH,2
ManTech International Corporation,MANT,4
Manitex International Inc.,MNTX,3
WisdomTree Germany Hedged Equity Fund,DXGE,2
VistaGen Therapeutics Inc.,VTGN,2
Electro Scientific Industries Inc.,ESIO,3
Office Depot Inc.,ODP,3
Lands&#39; End Inc.,LE,4
Carvana Co.,CVNA,5
PowerShares S&P SmallCap Financials Portfolio,PSCF,5
Great Western Bancorp Inc.,GWB,5
Proshares UltraPro Nasdaq Biotechnology,UBIO,4
Advanced Energy Industries Inc.,AEIS,2
Ferrari N.V.,RACE,5
SunTrust Banks Inc.,STI.WS.A,2
Alliance World Dollar Government Fund II,AWF,3
Pulmatrix Inc.,PULM,5
Bruker Corporation,BRKR,4
Mobile Mini Inc.,MINI,4
Eaton Vance Municipal Income 2028 Term Trust,ETX           ,4
Morgan Stanley Emerging Markets Domestic Debt Fund Inc.,EDD,4
Rubicon Technology Inc.,RBCN,3
Lehman ABS Corporation,JBK,2
First Potomac Realty Trust,FPO,4
HollyFrontier Corporation,HFC,5
Johnson Controls International plc,JCI,2
1347 Property Insurance Holdings Inc.,PIH,4
Akorn Inc.,AKRX,3
United Natural Foods Inc.,UNFI,4
CNA Financial Corporation,CNA,5
Korea Fund Inc. (The),KF,6
Yingli Green Energy Holding Company Limited,YGE,2
Prana Biotechnology Ltd,PRAN,4
Just Energy Group Inc.,JE^A,4
John Hancock Preferred Income Fund III,HPS,6
Patriot Transportation Holding Inc.,PATI,5
Forum Merger Corporation,FMCIR,4
